Name,Gene id,Up region,Down region,Inserted sequence,Manipulation type
b4588_del,b4588,0,0,-,deletion
b0547_del,b0547,0,0,-,deletion
b0548_del,b0548,0,0,-,deletion
b0549_del,b0549,0,0,-,deletion
b0550_del,b0550,0,0,-,deletion
b4509_del,b4509,0,0,-,deletion
b0551_del,b0551,0,0,-,deletion
b0553_del,b0553,0,0,-,deletion
b0552_del,b0552,0,0,-,deletion
b0554_del,b0554,0,0,-,deletion
b0555_del,b0555,0,0,-,deletion
b0556_del,b0556,0,0,-,deletion
b4510_del,b4510,0,0,-,deletion
b0557_del,b0557,0,0,-,deletion
b0558_del,b0558,0,0,-,deletion
b0559_del,b0559,0,0,-,deletion
b4589_del,b4589,0,0,-,deletion
b0560_del,b0560,0,0,-,deletion
b4634_del,b4634,0,0,-,deletion
b0561_del,b0561,0,0,-,deletion
b0562_del,b0562,0,0,-,deletion
b0563_del,b0563,0,0,-,deletion
b0564_del,b0564,0,0,-,deletion
b0565_del,b0565,0,0,-,deletion
b0566_del,b0566,0,0,-,deletion
b0567_del,b0567,0,0,-,deletion
b0568_del,b0568,0,0,-,deletion
b0569_del,b0569,0,0,-,deletion
b0570_del,b0570,0,0,-,deletion
b0571_del,b0571,0,0,-,deletion
b0572_del,b0572,0,0,-,deletion
b0573_del,b0573,0,0,-,deletion
b0574_del,b0574,0,0,-,deletion
b0575_del,b0575,0,0,-,deletion
b0576_del,b0576,0,0,-,deletion
b0577_del,b0577,0,0,-,deletion
b0578_del,b0578,0,0,-,deletion
b0579_del,b0579,0,0,-,deletion
b0580_del,b0580,0,0,-,deletion
b0581_del,b0581,0,0,-,deletion
b4700_del,b4700,0,0,-,deletion
b4415_del,b4415,0,0,-,deletion
b0582_del,b0582,0,0,-,deletion
b0583_del,b0583,0,0,-,deletion
b0584_del,b0584,0,0,-,deletion
b0585_del,b0585,0,0,-,deletion
b4511_del,b4511,0,0,-,deletion
b0586_del,b0586,0,0,-,deletion
b0587_del,b0587,0,0,-,deletion
b0588_del,b0588,0,0,-,deletion
b0589_del,b0589,0,0,-,deletion
b0590_del,b0590,0,0,-,deletion
b0591_del,b0591,0,0,-,deletion
b0592_del,b0592,0,0,-,deletion
b0593_del,b0593,0,0,-,deletion
b0594_del,b0594,0,0,-,deletion
b0595_del,b0595,0,0,-,deletion
b0596_del,b0596,0,0,-,deletion
b0597_del,b0597,0,0,-,deletion
b0598_del,b0598,0,0,-,deletion
b4512_del,b4512,0,0,-,deletion
b0599_del,b0599,0,0,-,deletion
b0600_del,b0600,0,0,-,deletion
b0601_del,b0601,0,0,-,deletion
b0602_del,b0602,0,0,-,deletion
b0603_del,b0603,0,0,-,deletion
b0604_del,b0604,0,0,-,deletion
b0605_del,b0605,0,0,-,deletion
b0606_del,b0606,0,0,-,deletion
b0607_del,b0607,0,0,-,deletion
b0608_del,b0608,0,0,-,deletion
b4734_del,b4734,0,0,-,deletion
b0610_del,b0610,0,0,-,deletion
b0611_del,b0611,0,0,-,deletion
b0612_del,b0612,0,0,-,deletion
b0613_del,b0613,0,0,-,deletion
b0614_del,b0614,0,0,-,deletion
b0615_del,b0615,0,0,-,deletion
b0616_del,b0616,0,0,-,deletion
b0617_del,b0617,0,0,-,deletion
b0618_del,b0618,0,0,-,deletion
b0619_del,b0619,0,0,-,deletion
b0620_del,b0620,0,0,-,deletion
b0621_del,b0621,0,0,-,deletion
b0622_del,b0622,0,0,-,deletion
b0623_del,b0623,0,0,-,deletion
b0624_del,b0624,0,0,-,deletion
b4581_del,b4581,0,0,-,deletion
b0627_del,b0627,0,0,-,deletion
b0628_del,b0628,0,0,-,deletion
b0629_del,b0629,0,0,-,deletion
b0630_del,b0630,0,0,-,deletion
b0631_del,b0631,0,0,-,deletion
b0632_del,b0632,0,0,-,deletion
b0633_del,b0633,0,0,-,deletion
b0634_del,b0634,0,0,-,deletion
b0635_del,b0635,0,0,-,deletion
b0636_del,b0636,0,0,-,deletion
b0637_del,b0637,0,0,-,deletion
b0638_del,b0638,0,0,-,deletion
b0639_del,b0639,0,0,-,deletion
b0640_del,b0640,0,0,-,deletion
b0641_del,b0641,0,0,-,deletion
b0642_del,b0642,0,0,-,deletion
b0643_del,b0643,0,0,-,deletion
b0644_del,b0644,0,0,-,deletion
b0645_del,b0645,0,0,-,deletion
b0646_del,b0646,0,0,-,deletion
b0647_del,b0647,0,0,-,deletion
b0648_del,b0648,0,0,-,deletion
b0649_del,b0649,0,0,-,deletion
b0650_del,b0650,0,0,-,deletion
b0651_del,b0651,0,0,-,deletion
b0652_del,b0652,0,0,-,deletion
b0653_del,b0653,0,0,-,deletion
b0654_del,b0654,0,0,-,deletion
b0655_del,b0655,0,0,-,deletion
b0656_del,b0656,0,0,-,deletion
b0657_del,b0657,0,0,-,deletion
b0658_del,b0658,0,0,-,deletion
b0659_del,b0659,0,0,-,deletion
b0660_del,b0660,0,0,-,deletion
b0661_del,b0661,0,0,-,deletion
b0662_del,b0662,0,0,-,deletion
b0664_del,b0664,0,0,-,deletion
b0665_del,b0665,0,0,-,deletion
b0666_del,b0666,0,0,-,deletion
b0668_del,b0668,0,0,-,deletion
