,strain,design target,B:time,B:mean time,A:time,A:mean time,B:off target numbers,B mean:off target numbers,A:time - B:time
133,Escherichia_coli,350-2,2702.074544906616,2688.5951942920683,3167.278151988983,3173.462385082245,18.0,15.6,465.20360708236694
134,Escherichia_coli,350-1,2704.288858890533,2688.5951942920683,3100.5922091007237,3173.462385082245,8.0,15.6,396.30335021019073
135,Escherichia_coli,400-4,2913.2428686618805,2887.480090427399,3716.281378030777,3480.24410238266,14.0,15.2,803.0385093688965
136,Escherichia_coli,400-2,2900.2289583683014,2887.480090427399,3340.6179609298706,3480.24410238266,17.0,15.2,440.3890025615692
137,Escherichia_coli,400-5,2870.589393854141,2887.480090427399,3712.83056807518,3480.24410238266,19.0,15.2,842.2411742210393
138,Escherichia_coli,400-1,2867.9114689826965,2887.480090427399,3249.805949449539,3480.24410238266,13.0,15.2,381.89448046684265
139,Escherichia_coli,400-3,2885.4277622699738,2887.480090427399,3381.6846554279327,3480.24410238266,13.0,15.2,496.256893157959
140,Escherichia_coli,450-4,3015.607658863068,3041.5011835575106,3517.4123916625977,3644.5504648208616,16.0,20.0,501.8047327995296
141,Escherichia_coli,450-3,3021.8890311717987,3041.5011835575106,3588.8700959682465,3644.5504648208616,23.0,20.0,566.9810647964478
142,Escherichia_coli,450-2,3048.005353450775,3041.5011835575106,3723.7981317043295,3644.5504648208616,21.0,20.0,675.7927782535544
143,Escherichia_coli,450-1,3060.419893503189,3041.5011835575106,3576.576503276825,3644.5504648208616,18.0,20.0,516.1566097736359
144,Escherichia_coli,450-5,3061.5839807987213,3041.5011835575106,3816.0952014923096,3644.5504648208616,22.0,20.0,754.5112206935883
145,Escherichia_coli,500-4,3192.5095312595367,3182.2596588134766,3727.567288637161,3756.925859880447,32.0,24.0,535.0577573776241
146,Escherichia_coli,500-2,3162.496475458145,3182.2596588134766,3779.739985704422,3756.925859880447,27.0,24.0,617.2435102462769
147,Escherichia_coli,500-1,3177.1615965366364,3182.2596588134766,3686.6246314048767,3756.925859880447,24.0,24.0,509.46303486824036
148,Escherichia_coli,500-5,3180.9681482315063,3182.2596588134766,3773.7213866710654,3756.925859880447,17.0,24.0,592.753238439559
149,Escherichia_coli,500-3,3198.1625425815582,3182.2596588134766,3816.976006984711,3756.925859880447,20.0,24.0,618.8134644031529
150,Pseudomonas_aeruginosa,50-4,230.68541502952576,241.6727891921997,341.3379256725311,346.52072563171384,17.0,16.2,110.65251064300537
