,strain,design target,B:time,B:mean time,A:time,A:mean time
213,Salmonella_typhimurium,150-2,815.2379460334778,824.9372369766236,1321.9908673763275,1452.5236937046052
214,Salmonella_typhimurium,150-5,829.3411180973053,824.9372369766236,1576.6160578727722,1452.5236937046052
215,Salmonella_typhimurium,200-5,1160.8717970848083,1184.8566880226135,1973.9959399700165,1716.2756329536437
216,Salmonella_typhimurium,200-1,1177.9910306930542,1184.8566880226135,2053.7530732154846,1716.2756329536437
217,Salmonella_typhimurium,200-4,1188.844272851944,1184.8566880226135,1492.6633412837982,1716.2756329536437
218,Salmonella_typhimurium,200-2,1188.8499512672424,1184.8566880226135,1513.054599761963,1716.2756329536437
219,Salmonella_typhimurium,200-3,1207.726388216019,1184.8566880226135,1547.9112105369568,1716.2756329536437
220,Salmonella_typhimurium,250-3,1606.055277109146,1575.7859103679657,2614.6781001091003,2423.974670124054
221,Salmonella_typhimurium,250-5,1557.0929872989657,1575.7859103679657,1822.7373735904691,2423.974670124054
222,Salmonella_typhimurium,250-4,1622.0483660697937,1575.7859103679657,2539.858374118805,2423.974670124054
223,Salmonella_typhimurium,250-2,1544.9933769702911,1575.7859103679657,2342.791164159775,2423.974670124054
224,Salmonella_typhimurium,250-1,1548.739544391632,1575.7859103679657,2799.8083386421204,2423.974670124054
225,Salmonella_typhimurium,300-2,2065.839519739151,2088.6147368431093,2905.617841959,3092.3106872081758
226,Salmonella_typhimurium,300-1,2080.866237640381,2088.6147368431093,3205.459375858307,3092.3106872081758
227,Salmonella_typhimurium,300-5,2093.215276002884,2088.6147368431093,3052.280726909637,3092.3106872081758
228,Salmonella_typhimurium,300-3,2098.984484434128,2088.6147368431093,3326.860889673233,3092.3106872081758
229,Salmonella_typhimurium,300-4,2104.168166399002,2088.6147368431093,2971.3346016407013,3092.3106872081758
230,Salmonella_typhimurium,350-3,2431.62939286232,2466.0387917995454,2655.613305091858,3212.422998046875
231,Salmonella_typhimurium,350-4,2467.0873560905457,2466.0387917995454,4040.0074417591095,3212.422998046875
232,Salmonella_typhimurium,350-1,2468.013976335525,2466.0387917995454,3437.59943318367,3212.422998046875
233,Salmonella_typhimurium,350-2,2478.6473467350006,2466.0387917995454,2904.232386827469,3212.422998046875
234,Salmonella_typhimurium,350-5,2484.8158869743347,2466.0387917995454,3024.6624233722687,3212.422998046875
235,Salmonella_typhimurium,400-2,2717.398408651352,2687.046903705597,3042.7732689380646,3424.9157118320463
236,Salmonella_typhimurium,400-4,2690.728312253952,2687.046903705597,3328.3983957767487,3424.9157118320463
237,Salmonella_typhimurium,400-3,2682.505654335022,2687.046903705597,3280.940784215927,3424.9157118320463
238,Salmonella_typhimurium,400-5,2657.471680402756,2687.046903705597,3865.786370992661,3424.9157118320463
239,Salmonella_typhimurium,400-1,2687.130462884903,2687.046903705597,3606.679739236832,3424.9157118320463
240,Salmonella_typhimurium,450-2,2859.271162986756,2874.594966983795,3233.956330537796,3830.2053631782533
241,Salmonella_typhimurium,450-3,2871.209258079529,2874.594966983795,3930.397995948792,3830.2053631782533
242,Salmonella_typhimurium,450-1,2873.8632805347443,2874.594966983795,3933.906879425049,3830.2053631782533
243,Salmonella_typhimurium,450-5,2879.0589401721954,2874.594966983795,4306.145570278168,3830.2053631782533
244,Salmonella_typhimurium,450-4,2889.572193145752,2874.594966983795,3746.620039701462,3830.2053631782533
245,Salmonella_typhimurium,500-4,3044.3689744472504,3023.795378112793,4429.401487350464,3961.8567311763763
246,Salmonella_typhimurium,500-3,3000.473707675934,3023.795378112793,3819.16798210144,3961.8567311763763
247,Salmonella_typhimurium,500-1,3005.920082807541,3023.795378112793,3470.461609840393,3961.8567311763763
248,Salmonella_typhimurium,500-5,3011.4457263946533,3023.795378112793,3995.8033394813538,3961.8567311763763
249,Salmonella_typhimurium,500-2,3056.7683992385864,3023.795378112793,4094.449237108231,3961.8567311763763
